Individual_ID,Age,Education_Years,Work_Experience,City_Category,Remote_Work_Days,Household_Size,Savings_Rate,Annual_Income
ID-00282,25,16,3,Urban,3,4,0.1566,84143.73
ID-00283,53,12,35,Suburban,0,3,0.202,106680.5
ID-00284,55,18,31,Suburban,1,2,0.0941,117252.1
ID-00285,57,14,37,Urban,5,4,0.1718,138297.61
ID-00286,37,14,17,Urban,2,4,0.0815,113210.74
ID-00287,52,12,34,Urban,4,4,0.1487,126232.69
ID-00288,42,18,18,Urban,0,1,0.1987,121581.17
ID-00289,52,12,34,Urban,5,4,0.2225,117060.84
ID-00290,42,18,18,Suburban,2,5,0.1723,94482.01
ID-00291,46,16,24,Urban,4,3,0.0904,121518.53
ID-00292,35,18,11,Rural,2,4,0.1557,72027.44
ID-00293,63,16,41,Urban,3,2,0.1503,150621.67
ID-00294,35,12,17,Suburban,5,1,0.1722,71335.4
ID-00295,19,18,0,Suburban,0,5,0.1738,85614.6
ID-00296,52,12,34,Urban,0,3,0.1214,119539.11
ID-00297,33,16,11,Urban,5,1,0.1638,93579.95
ID-00298,58,12,40,Suburban,1,5,0.0978,112643.25
ID-00299,53,18,29,Rural,1,1,0.1934,96368.49
ID-00300,50,20,24,Urban,2,3,0.1902,136364.41
ID-00301,21,16,0,Urban,3,3,0.0955,77989.94
ID-00302,50,16,28,Urban,2,4,0.1277,130723.51
ID-00303,31,18,7,Urban,4,2,0.2693,93975.14
ID-00304,38,12,20,Rural,0,4,0.205,68848.64
ID-00305,37,20,11,Suburban,2,1,0.1521,93351.27
ID-00306,25,12,7,Urban,2,4,0.1584,94126.13
ID-00307,24,20,0,Urban,5,3,0.1145,92007.56
ID-00308,20,18,0,Urban,0,3,0.1812,90993.12
ID-00309,34,18,10,Rural,0,3,0.1782,73250.77
ID-00310,50,16,28,Rural,1,4,0.2365,88885.78
ID-00311,29,16,7,Urban,1,5,0.2303,102655.82
ID-00312,39,16,17,Urban,0,4,0.2565,123366.27
ID-00313,39,12,21,Rural,2,4,0.232,64794.73
ID-00314,63,16,41,Urban,4,4,0.2022,152433.23
ID-00315,47,16,25,Urban,2,4,0.1291,124457.94
ID-00316,55,18,31,Urban,4,3,0.1903,141331.72
ID-00317,55,16,33,Urban,0,2,0.2026,143311.87
ID-00318,62,12,44,Urban,5,4,0.2318,147098.33
ID-00319,25,14,5,Rural,4,4,0.1469,59093.21
ID-00320,44,16,22,Suburban,1,2,0.1339,100176.56
ID-00321,44,14,24,Urban,5,4,0.2068,118171.69
ID-00322,51,14,31,Urban,0,2,0.3219,122513.02
ID-00323,38,18,14,Suburban,3,3,0.2593,89771.07
ID-00324,47,16,25,Urban,4,5,0.2566,125642.23
ID-00325,50,16,28,Urban,4,4,0.1815,134218.88
ID-00326,45,14,25,Urban,5,5,0.1574,114681.91
ID-00327,64,18,40,Suburban,3,4,0.2521,130047.94
ID-00328,50,14,30,Urban,3,1,0.263,110808.01
ID-00329,22,18,0,Urban,0,1,0.1589,100501.56
ID-00330,36,12,18,Urban,5,3,0.1568,92690.32
ID-00331,21,18,0,Urban,2,5,0.1442,78693.94
ID-00332,52,16,30,Rural,3,5,0.2127,90275.56
ID-00333,34,16,12,Suburban,4,2,0.1807,84564.38
ID-00334,61,16,39,Urban,3,2,0.2117,143810.06
ID-00335,45,16,23,Urban,0,4,0.2571,119289.06
ID-00336,47,12,29,Suburban,0,2,0.2403,100889.11
ID-00337,46,18,22,Urban,4,2,0.1873,127035.76
ID-00338,63,14,43,Suburban,4,5,0.213,125430.27
ID-00339,23,20,0,Suburban,4,1,0.2237,73178.84
ID-00340,52,18,28,Urban,2,5,0.2284,136396.23
ID-00341,58,14,38,Rural,4,2,0.2904,88007.75
ID-00342,54,18,30,Urban,5,4,0.2378,136407.64
ID-00343,41,14,21,Urban,0,1,0.2039,111606.87
ID-00344,46,12,28,Suburban,0,2,0.1714,93025.81
ID-00345,63,20,37,Rural,3,2,0.1345,99890.23
ID-00346,48,16,26,Suburban,4,4,0.251,106315.99
ID-00347,52,16,30,Suburban,2,4,0.2556,123283.08
ID-00348,50,14,30,Urban,5,2,0.2682,116305.84
ID-00349,38,14,18,Urban,1,2,0.127,100372.2
ID-00350,49,20,23,Urban,3,5,0.2181,137148.14
ID-00351,40,12,22,Suburban,5,3,0.1565,87581.59
ID-00352,50,14,30,Urban,2,4,0.1949,128828.58
ID-00353,20,16,0,Urban,4,4,0.0919,80769.06
ID-00354,35,16,13,Rural,2,5,0.1511,68859.55
ID-00355,42,16,20,Urban,1,1,0.1868,124016.42
ID-00356,59,12,41,Urban,5,1,0.2287,135319.71
ID-00357,48,12,30,Urban,2,1,0.2355,122676.14
ID-00358,20,14,0,Urban,1,4,0.2495,80074.37
ID-00359,57,20,31,Urban,1,3,0.201,149772.71
ID-00360,63,12,45,Urban,5,3,0.1895,141193.72
ID-00361,41,18,17,Urban,1,5,0.2085,130953.26
ID-00362,49,18,25,Urban,5,1,0.2143,128329.31
ID-00363,64,18,40,Urban,2,1,0.1582,145248.4
ID-00364,39,18,15,Urban,4,2,0.1282,118371.7
ID-00365,40,14,20,Urban,0,5,0.3046,120044.34
ID-00366,19,14,0,Urban,0,5,0.1827,85146.41
ID-00367,44,16,22,Urban,2,4,0.2338,113526.5
ID-00368,59,14,39,Rural,4,4,0.2373,94734.41
ID-00369,19,18,0,Rural,0,5,0.1927,68006.91
ID-00370,43,16,21,Urban,1,3,0.2564,118159.78
ID-00371,34,18,10,Urban,2,5,0.2958,111104.92
ID-00372,57,12,39,Suburban,2,3,0.2349,112799.81
ID-00373,50,20,24,Suburban,3,4,0.206,110868.02
ID-00374,26,14,6,Rural,3,5,0.2269,59790.04
ID-00375,60,16,38,Urban,3,3,0.1987,139791.83
ID-00376,56,16,34,Suburban,5,2,0.1458,111686.53
ID-00377,46,18,22,Rural,4,2,0.2287,79197.42
ID-00378,59,16,37,Urban,2,5,0.1637,151256.97
ID-00379,43,20,17,Urban,3,1,0.1537,125264.1
ID-00380,52,20,26,Urban,2,5,0.1387,146596.9
ID-00381,42,18,18,Urban,1,4,0.0664,123569.58
ID-00382,41,12,23,Urban,3,4,0.125,107779.62
ID-00383,30,18,6,Suburban,2,2,0.1854,91844.12
ID-00384,24,18,0,Urban,4,3,0.234,94221.65
ID-00385,53,12,35,Urban,5,2,0.1763,116152.06
ID-00386,62,12,44,Rural,4,3,0.1774,89649.35
ID-00387,37,12,19,Urban,4,5,0.1838,98316.83
ID-00388,18,12,0,Urban,3,1,0.1644,61428.25
ID-00389,25,16,3,Urban,4,4,0.1722,82265.12
ID-00390,63,20,37,Urban,5,5,0.2661,162293.45
ID-00391,33,16,11,Urban,0,2,0.1676,100494.7
ID-00392,31,16,9,Rural,5,5,0.1565,65727.63
ID-00393,29,20,3,Urban,1,1,0.1797,91773.34
ID-00394,40,14,20,Suburban,5,3,0.2226,79535.8
ID-00395,32,18,8,Urban,2,1,0.3252,97374.03
ID-00396,45,16,23,Rural,0,2,0.2823,83679.76
ID-00397,51,16,29,Suburban,3,1,0.2133,107990.13
ID-00398,19,14,0,Rural,2,4,0.1434,55437.56
ID-00399,49,16,27,Urban,5,1,0.1947,117936.25
ID-00400,40,12,22,Rural,2,5,0.1564,74308.39
ID-00401,39,18,15,Rural,4,3,0.1998,82851.13
ID-00402,42,14,22,Suburban,2,4,0.2081,98433.02
ID-00403,39,18,15,Urban,2,4,0.2195,109698.16
ID-00404,39,14,19,Urban,5,4,0.0906,110179.2
ID-00405,59,12,41,Urban,1,2,0.1652,136511.48
ID-00406,23,16,1,Urban,5,2,0.2456,81470.74
ID-00407,32,12,14,Suburban,3,5,0.1269,89077.9
ID-00408,60,18,36,Suburban,0,3,0.1716,127832.94
ID-00409,54,20,28,Suburban,4,1,0.1878,119356.06
ID-00410,50,18,26,Urban,1,5,0.2711,137508.93
ID-00411,25,12,7,Urban,0,2,0.2082,77503.69
ID-00412,61,16,39,Urban,0,5,0.1971,153982.9
ID-00413,61,16,39,Urban,1,3,0.188,146134.36
ID-00414,22,18,0,Suburban,4,5,0.1379,76127.53
ID-00415,56,12,38,Urban,3,4,0.1432,129291.52
ID-00416,21,16,0,Suburban,1,1,0.1304,56208.19
ID-00417,23,16,1,Urban,1,2,0.2611,80581.31
ID-00418,62,12,44,Rural,1,2,0.2864,98057.73
ID-00419,49,14,29,Urban,4,3,0.1818,123558.76
ID-00420,47,16,25,Urban,1,3,0.1723,123628.68
ID-00421,64,18,40,Urban,1,3,0.271,158172.9
ID-00422,52,20,26,Urban,2,2,0.1718,135412.67
ID-00423,57,16,35,Suburban,2,4,0.2404,114910.91
ID-00424,33,14,13,Suburban,2,1,0.1277,77633.41
ID-00425,30,14,10,Urban,2,3,0.1884,89881.19
ID-00426,59,20,33,Urban,1,2,0.1854,148392.16
ID-00427,47,20,21,Suburban,2,4,0.2199,111266.54
ID-00428,36,20,10,Urban,0,3,0.2505,110356.64
ID-00429,34,18,10,Urban,3,3,0.1537,113231.05
ID-00430,36,14,16,Rural,2,1,0.1327,69917.98
ID-00431,45,18,21,Urban,4,1,0.1801,109141.9
ID-00432,43,16,21,Suburban,3,5,0.2599,103392.93
ID-00433,54,14,34,Suburban,5,3,0.2106,105135.74
ID-00434,43,18,19,Rural,5,5,0.1893,78226.58
ID-00435,40,12,22,Suburban,0,2,0.2477,90365.07
ID-00436,26,12,8,Urban,3,1,0.2019,75364.67
ID-00437,29,16,7,Urban,3,4,0.295,92144.32
ID-00438,18,16,0,Rural,0,3,0.1134,49196.82
ID-00439,18,18,0,Urban,5,3,0.1675,91217.88
ID-00440,64,12,46,Suburban,2,5,0.1449,127382.58
ID-00441,51,12,33,Rural,0,1,0.1465,81446.55
ID-00442,49,12,31,Suburban,4,5,0.2647,93770.67
ID-00443,42,12,24,Urban,0,3,0.1469,110232.95
ID-00444,57,12,39,Urban,1,1,0.2853,133285.34
ID-00445,62,16,40,Urban,5,3,0.1566,146027.26
ID-00446,18,16,0,Urban,1,1,0.1634,84327.85
ID-00447,33,18,9,Rural,5,3,0.1233,68687.73
ID-00448,56,20,30,Suburban,5,4,0.2388,123320.47
ID-00449,22,16,0,Suburban,3,5,0.1822,77202.32
ID-00450,39,12,21,Urban,2,1,0.2519,96420.82
ID-00451,46,12,28,Urban,2,5,0.2382,108559.64
ID-00452,20,18,0,Urban,5,1,0.1762,82914.9
ID-00453,29,16,7,Urban,5,1,0.1848,85021.23
ID-00454,43,18,19,Urban,1,1,0.1297,112410.59
ID-00455,33,18,9,Urban,4,3,0.2021,105829.35
ID-00456,54,20,28,Urban,0,2,0.1992,144724.17
ID-00457,39,20,13,Urban,5,3,0.2219,107054.12
ID-00458,46,16,24,Rural,5,2,0.2335,86290.9
ID-00459,31,14,11,Urban,0,3,0.1489,90920.49
