Property_ID,Square_Footage,Num_Bedrooms,Age_of_House_Years,Sale_Price
208,3053,5,1.9,573081.96
209,1236,3,77.9,223859.44
210,1740,3,52.7,337023.71
211,3057,5,93.6,515307.46
212,709,1,99.7,88349.5
213,3194,6,66.3,583302.61
214,1797,3,41.2,352645.04
215,1081,3,47.5,225873.12
216,1802,3,20.4,358652.56
217,1422,1,9.9,286527.14
218,2353,6,57.9,405550.76
219,1481,2,80.5,228940.26
220,600,2,26.2,158464.53
221,1824,4,42.0,342737.59
222,915,2,55.5,165664.43
223,2163,3,90.8,356190.71
224,1050,2,13.9,236350.63
225,1610,1,23.7,299225.83
226,2146,6,91.9,368611.98
227,1830,2,4.0,315892.07
228,2200,3,65.6,392620.42
229,2544,4,64.0,421877.54
230,1074,2,38.3,190151.51
231,1948,3,46.8,327203.04
232,600,2,85.5,130382.32
233,2198,5,16.5,446802.11
234,1759,3,23.2,348887.69
235,1213,2,51.2,238200.75
236,2253,5,41.0,429111.1
237,2938,4,57.4,530067.41
238,1619,4,92.1,249262.79
239,1244,2,91.7,166091.66
240,2132,5,23.0,397879.3
241,932,1,30.2,191170.14
242,1472,3,16.2,315494.95
243,2978,6,92.8,500662.22
244,2050,6,39.8,409859.91
245,600,3,45.0,180725.35
246,600,2,80.3,88427.83
247,2130,4,51.3,395847.94
248,2690,4,12.0,486776.66
249,706,1,43.8,163271.46
250,2360,3,63.1,414268.73
251,3064,5,71.9,492090.24
252,3510,6,64.5,608351.83
253,2265,2,11.9,358240.37
254,2405,4,30.4,468913.83
255,600,1,73.4,147497.55
256,3680,6,88.0,567073.76
257,1540,3,4.7,286547.62
258,1253,1,4.2,253754.67
259,1796,2,64.3,297466.17
260,3209,6,54.8,567235.18
261,3766,6,15.5,649032.38
262,2100,4,54.8,389222.84
263,2798,4,97.4,473928.86
264,2035,3,63.1,420952.62
265,1170,1,44.9,237250.91
266,3181,6,82.8,518479.5
267,1502,4,21.3,317976.92
268,3228,4,41.4,575855.83
269,3039,4,52.8,506422.03
270,2491,5,50.5,477787.11
271,3463,6,92.1,603356.65
272,3786,6,29.3,715420.54
273,1860,2,5.7,374535.77
274,1353,2,91.6,216768.41
275,600,1,21.7,121686.29
276,3796,6,37.9,646750.8
277,1648,2,53.1,290204.07
278,2908,4,97.6,458033.71
279,1407,2,53.5,240548.59
280,3231,5,44.8,601875.3
281,1440,3,58.4,298532.02
282,1047,1,97.1,113501.18
283,1833,3,81.8,299253.67
284,1575,2,16.9,291902.42
285,2477,5,80.3,440161.91
286,1959,4,84.1,279905.13
287,2502,4,69.1,393523.52
288,1767,4,65.7,319533.95
289,1468,2,44.1,284582.72
290,1533,4,64.2,290496.64
291,3636,5,73.8,628181.68
292,2180,4,12.3,432107.09
293,600,1,25.7,166320.84
294,1584,2,19.4,339220.64
295,2077,4,84.1,335241.48
296,3476,5,68.0,614090.93
297,2823,3,45.1,495090.71
298,1263,1,82.6,250982.24
299,3935,6,71.7,652961.62
300,1975,5,91.4,345244.17
301,2997,6,7.7,557598.6
302,1076,1,50.9,161344.0
303,600,1,70.7,108099.27
304,873,1,20.7,184489.13
305,600,1,32.7,142366.18
306,3690,5,41.9,657975.74
307,2172,5,79.4,381362.98
308,1260,3,49.4,238450.43
309,2362,4,49.3,400600.43
310,2151,2,43.1,350650.13
311,2497,4,22.9,464842.83
312,2968,3,92.3,471280.02
313,1768,4,31.8,367545.61
314,1296,2,56.7,244224.26
315,2662,3,14.9,521324.54
316,2642,6,43.4,477243.33
317,2081,2,90.4,314031.08
318,3742,6,99.5,599530.17
319,1650,3,36.2,345492.03
320,1280,1,15.4,232118.91
321,2334,4,31.4,463819.56
322,1460,1,32.7,294140.31
323,2396,1,64.5,383175.22
324,1334,1,49.6,232733.93
325,1680,2,76.8,271489.35
326,3513,6,70.1,602918.09
327,1676,3,25.1,315360.68
328,1361,2,78.4,217724.13
329,2937,4,84.7,528362.51
330,1159,1,59.8,164932.4
331,1446,1,92.8,212801.81
332,2461,3,78.3,419296.8
333,2751,4,59.5,467908.93
334,2976,5,90.6,509308.78
335,1402,2,60.0,204656.28
336,2477,4,52.1,472980.79
337,1627,3,35.6,338828.05
338,1515,2,88.3,234160.29
339,2963,4,12.3,522635.93
340,1560,3,47.4,310942.24
341,2223,4,53.7,371753.95
342,2124,4,55.5,359104.47
343,1143,3,65.2,212958.58
344,2773,5,50.6,538437.39
345,2448,4,25.7,472669.09
346,600,3,85.7,100269.57
347,2222,2,65.8,318645.53
348,1382,2,85.8,219682.99
349,2878,6,27.6,555902.07
350,844,2,63.7,153815.95
351,1715,4,71.4,355275.89
352,2290,4,38.3,419529.41
353,2043,5,81.2,309417.46
354,2610,3,0.3,476120.81
355,785,3,59.5,176522.53
356,3322,6,61.4,598886.96
357,2420,3,53.4,410875.6
358,3088,6,63.0,544240.67
359,2699,4,16.7,451481.28
360,1991,3,68.5,341011.75
361,973,1,33.6,175621.31
362,1549,2,45.2,282416.95
363,3272,6,33.3,616433.48
364,3108,6,47.4,599311.81
365,1504,2,62.2,231985.33
366,600,2,83.8,70582.97
367,1830,4,48.3,331476.03
368,1770,3,32.3,316252.26
369,1800,2,48.8,290329.41
370,2423,4,68.9,454468.37
371,2701,5,34.7,506124.34
372,2792,5,41.4,559967.27
373,2357,5,56.3,433446.05
374,600,1,29.4,102182.35
375,1727,2,20.9,302118.86
376,3843,5,14.0,715830.0
377,2299,5,35.3,413294.91
378,2294,4,4.8,464179.48
379,2288,4,58.3,397602.58
380,2332,2,17.6,392481.61
381,600,2,37.7,174471.41
382,1808,2,26.9,314948.02
383,1970,4,63.0,334379.53
384,3025,5,85.0,508750.02
385,2038,3,63.3,337329.97
386,683,1,54.3,179424.25
387,2344,3,66.9,419582.23
388,1357,4,3.0,296383.44
389,1027,2,12.3,212339.0
390,1333,1,9.5,206869.61
391,2434,4,9.8,470679.32
392,3007,5,26.0,536534.82
393,2386,5,53.2,442536.1
394,2506,4,11.5,427568.62
395,2378,3,93.5,376221.79
396,2081,3,85.4,381276.24
397,2558,5,97.2,432321.98
398,600,1,4.3,132232.94
399,2089,4,85.1,354726.14
400,1164,1,80.4,173695.06
401,2930,5,90.2,547127.36
402,1882,5,52.8,356743.42
403,2025,3,78.8,305636.54
404,796,2,5.1,195833.5
405,2813,5,7.6,545768.11
406,2502,3,11.9,474874.82
407,2446,2,91.5,392610.94
408,1350,3,6.1,341494.6
409,1381,1,10.0,249246.45
410,2179,2,93.0,315253.42
411,1444,3,10.7,256655.18
412,2348,3,87.0,394160.84
413,600,1,78.9,69675.48
414,1610,5,4.0,385571.55
415,3437,4,2.2,611511.34
416,2352,3,53.4,448197.88
417,2133,3,99.7,299338.3
418,3588,6,87.9,633466.72
419,600,1,31.0,152794.03
420,1348,1,38.6,249459.67
421,1679,4,38.8,302885.93
422,2687,5,73.4,482594.47
423,2701,5,34.1,506031.25
424,1307,2,14.8,218469.83
425,2798,5,74.7,523888.23
426,1677,4,45.8,316268.47
427,2969,4,7.7,586238.14
428,1174,2,79.0,191204.28
429,1901,4,58.5,372883.25
430,1608,4,48.9,290562.33
431,2845,6,67.3,518243.42
432,1582,3,50.5,295469.14
433,1966,4,64.8,344936.36
434,2405,1,86.7,334620.35
435,2436,6,61.4,379648.83
436,2710,4,66.0,442587.97
437,2169,3,61.4,388754.24
438,1665,3,53.1,267374.88
439,1720,3,17.2,309538.87
440,2021,4,33.6,350424.22
441,2200,5,69.3,404773.49
442,1882,3,42.5,320926.75
443,2015,2,40.6,380268.25
444,786,3,75.9,170523.95
445,2534,5,0.6,509657.59
446,2145,5,67.9,400029.18
447,2801,6,48.9,501938.18
448,2000,2,37.7,330791.68
449,609,2,34.1,161882.73
450,1713,2,17.3,345954.76
451,1840,3,33.4,361816.39
452,2594,4,39.1,456021.96
453,600,1,43.7,110221.03
454,2033,3,67.2,322872.03
455,2411,6,45.4,484570.66
456,1471,3,79.6,202910.87
457,2060,3,64.0,297715.05
458,1498,4,19.0,269410.75
459,1416,2,27.7,216658.91
460,1673,3,7.9,373538.59
461,1431,3,94.6,253662.39
462,2547,4,88.7,391161.05
463,1412,2,8.5,282367.98
464,1278,1,57.4,247418.68
465,3414,5,96.0,572772.82
466,2769,4,74.7,518437.98
467,600,1,49.2,112798.37
468,1388,2,24.1,252532.79
469,2194,6,27.9,419749.3
470,2259,3,73.6,375542.08
471,808,3,78.1,177155.59
472,2927,5,52.9,524232.66
473,2660,5,12.1,505369.23
474,2386,5,93.4,439603.54
475,3085,3,84.5,503391.28
476,2362,4,14.1,450220.99
477,2359,4,5.7,440147.01
478,3246,4,53.6,547669.52
479,2881,5,28.4,546237.27
480,1327,4,28.3,266881.3
481,2507,2,8.7,418230.95
482,1469,2,95.3,212075.35
483,2403,3,83.0,387806.44
484,2381,4,11.4,492125.49
485,893,1,87.7,99821.16
486,1903,3,68.3,331482.22
487,2212,4,32.5,408825.42
488,1651,4,87.1,282251.44
489,2252,6,59.8,468442.38
490,2645,4,84.9,440886.72
491,1976,1,46.9,301019.69
492,2180,4,50.1,419166.58
493,3107,6,29.1,603150.21
494,2379,5,38.8,425805.31
495,2161,5,56.8,373906.42
496,1234,2,94.7,199598.26
497,2537,4,60.0,441716.36
498,2264,4,14.7,426045.18
499,3027,5,0.7,604897.77
500,2038,4,85.1,332813.95
501,600,2,36.4,151393.04
502,640,2,31.5,180168.83
503,2589,5,80.1,440813.24
504,1544,3,94.5,205243.39
505,2349,5,74.8,407429.7
506,2091,2,17.4,384474.31
507,1867,3,39.1,368814.89
508,1923,3,75.9,309669.1
509,1308,2,90.7,246723.27
510,1987,3,99.9,280691.44
511,1532,3,51.2,287978.72
512,1702,2,82.3,263518.94
513,1741,4,4.7,401096.74
514,1819,4,28.6,323142.84
515,2738,5,37.2,516619.8
516,1896,2,97.6,280252.3
517,2819,6,0.3,600807.03
518,3230,6,30.8,579144.37
519,2684,4,93.0,448549.98
520,2428,4,30.7,428710.95
521,2261,4,22.5,435846.21
522,2692,5,73.0,461158.8
523,2071,4,74.5,351392.14
524,2788,5,47.2,455739.89
525,2491,5,94.7,433261.2
526,1712,4,20.3,323527.46
527,2717,5,91.3,431559.74
528,2073,3,75.6,306627.27
529,1915,2,36.8,311392.1
530,1619,2,80.7,270809.3
531,2133,6,13.3,460573.16
532,2797,5,13.1,550664.17
533,2711,6,93.0,446580.5
534,2283,4,9.5,450237.1
535,2480,4,0.4,466289.04
536,3017,5,38.9,570295.8
537,1880,3,10.4,379342.27
538,1108,1,86.3,145744.12
539,3041,4,92.3,518348.91
540,1576,3,48.2,305489.5
541,1448,3,42.5,243487.21
542,600,3,53.9,100088.8
543,2457,4,22.6,426762.28
544,703,1,29.8,187842.27
545,1400,2,10.1,256535.26
546,2471,5,44.6,506837.5
547,2578,5,61.2,436081.71
548,1479,2,93.0,198085.47
549,1893,2,73.9,326822.96
550,1302,3,72.3,255592.98
551,1561,3,30.8,318405.71
552,2213,4,88.8,387789.29
553,1599,2,94.7,224053.0
554,1805,1,93.2,281994.04
555,828,1,3.9,192095.67
556,2906,6,60.4,518420.06
557,2408,6,64.3,452107.49
558,2634,4,29.5,508010.93
559,3032,6,99.2,525203.29
560,1340,3,29.1,218759.95
561,1713,1,21.7,326901.76
562,600,1,48.4,136634.32
563,4512,6,32.3,781471.59
564,1880,1,92.4,275996.35
565,2831,5,44.0,517262.36
566,1009,3,41.0,164051.55
567,2797,5,62.6,484439.27
568,3486,6,8.1,647336.4
569,1952,3,75.7,323293.19
570,1191,2,76.8,184031.9
571,1889,2,47.4,341998.98
572,600,1,95.6,58315.94
573,1970,3,57.9,366904.8
574,2657,5,69.5,483324.64
575,1971,3,92.4,350712.86
576,1773,2,66.6,335987.35
577,2422,5,43.2,497265.21
578,2483,5,2.5,465827.86
579,672,1,72.8,116140.7
580,2071,4,96.5,325516.06
581,3949,6,47.0,776738.68
582,932,2,34.0,207970.29
583,1932,4,51.9,393667.05
584,3553,5,72.8,610559.26
585,2883,4,0.1,476508.68
586,1589,3,88.7,242783.94
587,2165,2,88.6,316701.4
588,1998,3,54.1,341642.78
589,1402,2,12.2,289498.91
590,1941,1,67.2,314938.85
591,1776,3,13.8,284688.94
592,2090,3,50.8,361973.24
593,1401,4,9.4,300512.7
594,979,2,58.9,214250.73
595,1967,4,31.8,394410.57
596,3372,6,83.1,574743.75
597,2066,3,80.0,346496.33
598,1735,3,99.8,233196.51
599,2603,3,25.8,481383.55
600,1873,4,6.2,376117.44
601,3494,6,44.3,608475.27
602,1997,2,8.3,405733.53
603,2560,5,17.8,501559.54
604,1396,1,59.7,209980.22
605,2402,4,59.2,407819.7
606,2220,5,4.3,463681.46
607,1955,3,44.3,360021.9
608,1599,2,53.0,278168.13
609,1490,2,26.8,251974.15
610,2226,2,87.2,317749.94
611,2503,5,16.1,468854.26
612,1898,3,25.4,354484.19
613,2230,3,15.7,415907.67
614,1970,3,11.7,377176.99
615,2079,3,87.9,333675.54
616,1840,4,27.8,410802.41
617,2014,3,72.3,360529.33
618,4158,6,42.8,759166.83
619,2249,4,63.6,408086.72
620,2516,5,92.8,429955.97
621,2350,4,84.5,405180.33
622,1790,4,6.9,378626.59
623,3035,5,84.5,532833.25
624,1767,4,45.2,314525.61
625,2844,6,35.0,556707.02
626,1733,3,67.2,305335.43
627,1232,1,95.0,128606.19
628,2292,4,9.4,448412.2
629,1116,3,76.8,168298.39
630,2429,3,20.4,429694.42
631,1045,1,38.0,187359.34
632,1745,3,87.4,249166.61
633,855,1,54.6,148242.54
634,4259,6,6.7,775165.17
635,677,2,50.8,159782.96
636,2008,3,79.0,321684.51
637,2915,5,52.9,526801.43
638,2829,5,16.7,533613.54
639,2681,4,44.5,466089.95
640,1746,2,92.4,226187.94
641,3081,6,65.8,546703.67
642,2731,5,73.0,494871.89
643,2170,3,78.6,334282.16
644,2192,4,9.1,426099.93
645,1757,5,58.2,340264.89
646,1272,1,37.6,253287.8
647,2990,5,13.9,563119.96
648,3050,6,20.3,588485.42
649,1293,2,78.1,211240.76
650,1877,4,16.1,366323.23
651,1885,5,31.2,354394.66
652,1974,4,28.5,376183.33
653,2051,3,4.9,408593.55
654,2757,6,46.2,519654.23
655,1402,3,76.6,281013.54
656,1323,1,2.2,285324.09
657,2989,5,11.3,595359.83
658,1630,2,72.0,216078.15
659,990,2,59.4,220496.88
660,1612,2,71.5,271250.48
661,1736,3,23.0,347214.82
662,3244,5,80.4,569699.18
663,2740,5,48.0,498143.25
664,2918,6,61.0,502116.33
665,2656,4,9.2,537212.92
666,2757,3,20.5,472941.92
667,1450,2,77.3,210988.43
668,1841,3,22.4,347379.8
669,1208,3,9.3,259147.52
670,1832,2,59.7,307118.91
671,2547,4,54.8,445759.87
672,2108,1,60.8,366246.73
673,3049,6,61.8,559368.63
674,1087,2,50.0,181589.29
675,2400,4,49.4,412485.48
676,1001,1,92.4,131512.04
677,2075,2,53.4,338934.44
678,2592,5,61.7,451547.38
679,1828,2,26.7,305298.9
680,2441,4,87.1,413722.6
681,1232,4,2.4,281460.44
682,669,1,55.7,96976.82
683,2446,3,38.4,443328.86
684,3395,6,60.4,622133.21
685,1203,1,36.0,210495.31
686,2978,6,71.8,573822.13
687,2035,5,2.0,484011.5
688,931,1,40.6,184601.1
689,1095,1,83.1,151028.64
690,2013,3,25.0,383657.78
691,1676,2,5.3,296568.85
692,950,2,49.7,160981.48
693,645,2,97.7,56560.09
694,1323,1,6.4,242605.69
695,2155,5,7.0,411832.47
696,1995,4,59.5,377242.09
697,1599,2,25.0,281115.62
698,2162,3,41.0,393397.03
699,2832,5,83.1,502057.09
700,2315,3,19.9,455625.67
701,1903,4,71.9,329070.39
702,2742,3,50.4,473707.1
703,1232,3,90.5,215965.92
704,1820,3,97.3,321965.32
705,1839,3,48.5,351642.09
706,1010,2,58.5,217311.86
707,1664,4,74.6,258316.31
708,600,1,31.9,112899.29
709,3530,5,22.7,662156.19
710,1250,1,96.5,189842.73
711,3269,5,43.3,577614.63
712,2030,3,0.2,387521.49
713,2452,2,83.8,400499.65
714,1609,2,60.0,223887.44
715,2166,5,16.9,456220.09
716,2520,4,3.0,487856.03
717,2532,4,29.1,454260.42
718,2620,4,92.8,441330.05
719,1705,3,93.3,266419.48
720,1616,2,31.1,298245.19
721,725,2,83.6,120719.38
722,2419,4,44.2,456115.62
723,2866,4,65.4,491531.97
724,3293,6,33.4,559466.5
725,2244,1,51.6,325519.85
726,1387,3,29.4,252443.49
727,642,1,6.1,167824.47
728,2833,5,13.9,552721.06
729,600,1,29.1,173504.97
730,1728,3,97.6,250738.94
731,1821,4,96.6,338627.55
732,1944,5,82.8,301939.97
733,2029,2,23.3,366193.46
734,2111,4,44.2,397451.91
735,600,1,44.0,125857.13
736,2012,3,38.7,358102.25
737,600,2,4.5,169356.97
738,2586,4,53.5,424257.32
739,1556,3,7.3,344204.08
740,600,1,80.2,97091.27
741,1349,2,69.1,236101.26
742,1544,4,35.3,306405.63
743,2953,6,64.7,522979.6
744,2157,4,23.3,428025.31
745,2276,1,26.5,424929.34
746,2945,5,31.4,506778.54
747,1923,3,79.7,283587.32
748,2603,4,21.1,490249.83
749,2547,5,56.3,453722.5
750,971,1,20.0,197715.28
751,3178,6,28.5,593302.27
752,864,1,23.5,191311.73
753,2734,6,64.5,491345.54
754,786,3,52.7,140556.39
755,2481,3,72.1,389699.72
756,3490,5,22.0,626893.23
757,1830,3,0.9,337393.86
758,1795,2,68.1,293887.89
759,2488,4,11.5,475530.55
760,1736,4,24.6,341750.49
761,3455,6,30.6,639025.66
762,2154,6,74.7,362998.87
763,1744,3,62.6,282699.05
764,1568,2,18.4,271891.29
765,1254,2,59.8,242265.39
766,1498,2,70.8,305702.26
767,1719,3,38.9,299717.73
768,1610,3,24.6,310942.71
769,1473,2,67.9,229295.65
770,3679,6,61.1,648509.34
771,1176,1,7.8,219956.81
772,2117,3,66.7,366285.13
773,2474,4,48.9,458644.23
774,2504,2,75.3,364734.86
775,1953,4,19.1,394480.45
776,1807,1,25.8,270541.29
777,2361,5,54.3,429271.63
778,2213,2,48.2,365319.31
779,1793,3,38.6,327312.34
780,750,2,74.6,125015.82
781,1626,5,56.5,311346.7
782,1083,2,71.0,178983.7
783,1466,1,15.3,278593.05
784,2027,4,72.9,362387.37
785,2287,4,46.2,419007.73
786,3424,6,3.4,636558.63
787,1570,3,23.4,338749.09
788,2620,2,2.6,509073.37
789,2245,4,45.7,377989.68
790,3037,5,32.6,558586.35
791,2461,5,98.7,403450.49
792,1193,3,86.9,227609.62
793,622,1,82.6,91931.48
794,2249,5,50.1,423590.12
795,1577,3,80.7,279357.2
796,1216,1,26.7,218611.95
797,986,2,56.1,224985.07
798,2129,5,39.3,425660.05
799,3206,4,17.1,600482.83
800,1673,4,7.3,349627.04
801,2472,3,55.8,418071.14
802,1918,2,9.8,380179.49
803,968,1,71.8,170539.31
804,2588,6,92.1,423265.81
805,1124,1,16.2,223822.33
806,2017,2,47.1,356720.86
807,1727,3,73.9,291690.52
808,2714,5,28.7,518626.02
809,1153,3,92.1,192088.98
810,2313,4,88.8,329703.98
811,1328,2,10.4,238127.37
812,1591,2,2.7,340832.63
813,600,3,97.6,100773.82
814,3674,6,95.6,619324.27
815,2440,5,42.2,457125.73
816,1386,3,5.1,278222.48
817,1100,2,61.9,183812.99
818,1603,1,29.3,290200.93
819,2574,5,93.7,446937.06
820,600,1,79.5,146137.28
821,1887,4,65.0,329138.94
822,3417,6,28.5,671555.67
823,1093,2,70.1,166338.14
824,2064,2,28.9,378681.54
825,3763,6,3.8,705886.34
826,2506,4,50.8,442078.59
827,2101,4,48.9,385913.78
828,2405,4,76.3,394144.15
829,1679,3,86.6,300193.7
830,3040,6,35.4,546577.14
831,1681,2,44.9,304130.31
832,600,1,47.0,136264.42
833,1687,1,32.4,326717.15
834,1227,1,74.3,213873.28
835,1775,4,52.2,348792.64
836,1793,2,91.4,259890.24
837,2958,6,65.0,512030.76
838,2556,5,21.2,462983.8
839,2211,3,16.5,382608.67
840,1998,6,37.2,409874.15
841,1153,3,34.7,222010.46
842,600,1,40.7,152410.09
843,2091,4,18.4,394488.67
844,2636,4,97.8,429498.58
845,1913,2,14.6,348677.12
846,1572,2,65.3,228491.66
847,2372,5,1.3,506990.48
848,1933,3,40.7,369780.17
849,3349,5,30.9,622878.38
850,2986,4,38.2,542211.7
851,2768,4,49.8,466366.69
852,2606,4,60.0,434368.78
853,968,2,58.4,189818.78
854,2530,2,63.1,447615.9
855,2301,4,84.5,397235.66
856,2485,3,88.7,421274.29
857,2394,5,73.7,411973.17
858,2362,6,7.9,515430.89
859,4161,6,96.1,676759.9
860,1939,2,94.7,301062.13
861,2749,5,71.2,471259.67
862,1623,2,51.7,304283.78
863,2633,6,25.1,537469.58
864,2751,6,75.6,455222.38
865,2292,5,87.8,431703.63
866,3335,5,66.5,631445.22
867,1293,3,62.9,229740.87
868,1610,3,19.3,317889.58
869,2170,4,35.8,437862.02
870,2705,3,72.3,444568.29
871,2144,5,1.7,445148.74
872,3029,5,64.1,575473.08
873,1471,2,76.7,205458.95
874,1088,1,33.5,181699.56
875,2247,3,7.6,436402.15
